Subject,Task,Space,ROI,Threshold,Stat Type,Activated Voxels across Whole Brain (counts),Activated Voxels within ROI (counts),Activated Voxels across Whole Brain (%),Activated Voxels within ROI (%),Activated ROI/WB (%),%Activated ROI/%Activated WB (ratio),Voxels in ROI (counts),Voxels in Whole Brain (counts)
UPN007trial2,motor_run-01,Native,Whole-brain,Z=3.1,Z-stat,520509,42723,18.000,40.600,1.400,2.25,105054,2890417
UPN007trial2,motor_run-01,Native,Left,Z=3.1,Z-stat,192535,21620,13.100,41.300,1.400,3.15,52251,1460225
UPN007trial2,motor_run-01,Native,Right,Z=3.1,Z-stat,340359,22358,22.400,40.000,1.400,1.78,55885,1516611
UPN007trial2,motor_run-01,Native,Whole-brain,Z=2.35,Z-stat,886493,51590,30.600,49.100,1.700,1.60,105054,2890417
UPN007trial2,motor_run-01,Native,Left,Z=2.35,Z-stat,385076,25764,26.300,49.300,1.700,1.87,52251,1460225
UPN007trial2,motor_run-01,Native,Right,Z=2.35,Z-stat,521818,27329,34.400,48.900,1.800,1.42,55885,1516611
UPN007trial2,motor_run-01,Native,Whole-brain,p<0.05,TFCE,5702,1453,1.700,1.300,0.400,0.76,105054,318369
UPN007trial2,motor_run-01,Native,Left,p<0.05,TFCE,3150,916,2.400,1.700,0.700,0.70,52251,128965
UPN007trial2,motor_run-01,Native,Right,p<0.05,TFCE,2631,537,1.200,0.900,0.200,0.75,55885,207524
UPN007trial2,motor_run-01,MNI,Whole-brain,Z=3.1,Z-stat,40895,4375,9.800,26.800,1.000,2.73,16267,413594
UPN007trial2,motor_run-01,MNI,Left,Z=3.1,Z-stat,15199,2337,7.300,28.400,1.100,3.89,8219,206297
UPN007trial2,motor_run-01,MNI,Right,Z=3.1,Z-stat,26410,2184,12.300,25.600,1.000,2.08,8517,213742
UPN007trial2,motor_run-01,MNI,Whole-brain,Z=2.35,Z-stat,72307,5405,17.400,33.200,1.300,1.90,16267,413594
UPN007trial2,motor_run-01,MNI,Left,Z=2.35,Z-stat,29991,2826,14.500,34.300,1.300,2.36,8219,206297
UPN007trial2,motor_run-01,MNI,Right,Z=2.35,Z-stat,43633,2754,20.400,32.300,1.200,1.58,8517,213742
UPN007trial2,motor_run-01,MNI,Whole-brain,p<0.05,TFCE,450,96,1.800,0.500,0.300,0.27,16267,24135
UPN007trial2,motor_run-01,MNI,Left,p<0.05,TFCE,249,76,2.400,0.900,0.700,0.37,8219,10023
UPN007trial2,motor_run-01,MNI,Right,p<0.05,TFCE,211,20,1.400,0.200,0.100,0.14,8517,15003
